"Source title","CiteScore","Keywords","2020-23 Citations","2020-23 Documents","% Cited","SNIP","SJR","Publisher"
"Fuzzy Sets and Systems","6.5","96.0%
2/41
Logic","6774","1035","76","1.611","1.009","Elsevier"
"Annals of Data Science","6.5","90.0%
16/168
Statistics, Probability and Uncertainty","1372","212","80","1.793","0.682","Springer Nature"
"Connection Science","6.5","70.0%
121/407
Software","1971","303","74","1.021","0.763","Taylor & Francis"
"Frontiers in Robotics and AI","6.5","72.0%
223/817
Computer Science Applications","7497","1157","78","1.24","0.809","Frontiers Media S.A."
"Network Neuroscience","6.4","90.0%
59/635
Applied Mathematics","1185","186","74","1.11","1.574","MIT Press"
"Machine Learning and Knowledge Extraction","6.3","83.0%
35/204
Engineering (miscellaneous)","1461","233","67","1.658","0.977","Multidisciplinary Digital Publishing Institute (MDPI)"
"Journal of Robotics and Control (JRC)","6.3","74.0%
82/321
Control and Systems Engineering","1980","314","82","1.009","0.361","Department of Electrical Engineering, Universitas Muhammadiyah Yogyakarta"
"Journal of Computational Social Science","6.2","67.0%
47/141
Transportation","1024","165","70","1.12","0.718","Springer Nature"
"Applied Computational Intelligence and Soft Computing","6.1","81.0%
17/89
Computational Mechanics","857","140","71","1.047","0.524","John Wiley & Sons"
"Journal of Experimental and Theoretical Artificial Intelligence","6.1","77.0%
30/130
Theoretical Computer Science","1265","209","78","0.708","0.511","Taylor & Francis"
"Frontiers in Artificial Intelligence","6.1","63.0%
129/350
Artificial Intelligence","4908","799","70","1.335","0.757","Frontiers Media S.A."
"International Journal of Information Technology (Singapore)","6","89.0%
67/635
Applied Mathematics","7080","1187","80","1.348","0.705","Springer Nature"
"Autonomous Agents and Multi-Agent Systems","6","62.0%
132/350
Artificial Intelligence","1180","197","76","1.89","0.855","Springer Nature"
"Natural Language Engineering","5.9","96.0%
37/1088
Language and Linguistics","866","148","72","2.32","0.664","Cambridge University Press"
"Journal of Intelligent Systems","5.9","69.0%
122/394
Information Systems","2303","388","74","0.921","0.479","Walter de Gruyter"
"Neuromorphic Computing and Engineering","5.9","72.0%
217/797
Electrical and Electronic Engineering","884","150","77","1.535","1.366","Institute of Physics Publishing"
"Qubahan Academic Journal","5.9","87.0%
199/1543
Education","556","94","35","1.999","0.749","Qubahan"
"Journal of Heuristics","5.8","83.0%
22/130
Control and Optimization","616","107","77","1.25","0.65","Springer Nature"
"International Journal of Data and Network Science","5.8","88.0%
59/511
Communication","2815","486","71","1.155","0.418","Growing Science"
"Intelligent Service Robotics","5.7","80.0%
40/204
Engineering (miscellaneous)","1001","175","78","1.02","0.764","Springer Nature"
"ACM Transactions on Cyber-Physical Systems","5.7","81.0%
24/130
Control and Optimization","741","130","75","0.947","0.806","Association for Computing Machinery"
"Knowledge and Information Systems","5.7","66.0%
131/394
Information Systems","3301","583","71","1.21","0.86","Springer Nature"
"Swarm Intelligence","5.7","59.0%
141/350
Artificial Intelligence","285","50","88","1.212","0.681","Springer Nature"
"Intelligent Systems with Applications","5.6","80.0%
26/133
Computer Science (miscellaneous)","1402","251","74","1.522","0.959","Elsevier"
"Multidimensional Systems and Signal Processing","5.6","88.0%
75/635
Applied Mathematics","1290","232","81","1.006","0.499","Springer Nature"
"Drones","5.6","80.0%
30/153
Aerospace Engineering","7566","1349","74","1.509","0.76","Multidisciplinary Digital Publishing Institute (MDPI)"
"Journal of Soft Computing and Data Mining","5.6","75.0%
33/130
Theoretical Computer Science","333","60","52","0.882","N/A","Penerbit UTHM"
"SN Computer Science","5.6","79.0%
36/176
Computational Theory and Mathematics","11317","2022","61","1.294","0.721","Springer Nature"
"Paladyn","5.5","67.0%
29/88
Behavioral Neuroscience","554","101","79","1.076","0.589","Walter de Gruyter"
"IET Cyber-Physical Systems: Theory and Applications","5.4","70.0%
239/797
Electrical and Electronic Engineering","550","102","70","0.563","0.618","John Wiley & Sons"
"Cognitive Psychology","5.4","95.0%
51/1167
Linguistics and Language","605","113","75","1.533","1.419","Elsevier"
"Digital Signal Processing: A Review Journal","5.3","86.0%
88/635
Applied Mathematics","6815","1295","75","1.133","0.799","Elsevier"
